Symbol,Close,AVG_20D_VOLUME,TRADED_VALUE,LIQUIDITY_SCORE,LIQUIDITY_RANK,LIQUIDITY_BUCKET
FONEBOX,89.25,7050,629212.5,46.42857142857143,181.0,ILLIQUID
MCON,41.15,15100,621365.02,46.13095238095239,182.0,ILLIQUID
REFRACTORY,30.4,20350,618639.99,45.83333333333333,183.0,ILLIQUID
BI,66.14,9352,618541.27,45.535714285714285,184.0,ILLIQUID
PIONRINV,106.38,5792,616163.58,45.23809523809524,185.0,ILLIQUID
BLUEPEBBLE,97.5,6020,586950.0,44.94047619047619,186.0,ILLIQUID
QMSMEDI,86.0,6800,584800.0,44.642857142857146,187.0,ILLIQUID
MILTON,40.5,14410,583605.0,44.345238095238095,188.0,ILLIQUID
KEL,85.0,6780,576300.0,44.047619047619044,189.0,ILLIQUID
GOYALSALT,112.75,5100,575025.0,43.75,190.0,ILLIQUID
KORE,125.0,4587,573437.5,43.452380952380956,191.0,ILLIQUID
IBLFL,60.0,9500,570000.0,43.154761904761905,192.0,ILLIQUID
TRUST,30.15,18450,556267.49,42.857142857142854,193.0,ILLIQUID
RBS,92.4,5560,513744.01,42.55952380952381,194.0,ILLIQUID
MASTER,339.95,1500,509925.02,42.26190476190476,195.0,ILLIQUID
NEWJAISA,19.8,25725,509354.98,41.964285714285715,196.0,ILLIQUID
BIRDYS,123.65,4080,504492.01,41.66666666666667,197.0,ILLIQUID
EMMIL,124.45,4037,502466.86,41.36904761904761,198.0,ILLIQUID
DTL,135.0,3720,502200.0,41.07142857142857,199.0,ILLIQUID
RCDL,24.5,20400,499800.0,40.773809523809526,200.0,ILLIQUID
MAITREYA,164.65,3000,493949.98,40.476190476190474,201.0,ILLIQUID
ASCOM,248.8,1900,472720.01,40.17857142857143,202.0,ILLIQUID
HOLMARC,107.45,4312,463378.11,39.88095238095239,203.0,ILLIQUID
SEL,201.0,2240,450240.0,39.58333333333333,204.0,ILLIQUID
REXPIPES,174.25,2550,444337.5,39.285714285714285,205.0,ILLIQUID
VISHWAS,50.3,8560,430567.99,38.98809523809524,206.0,ILLIQUID
MANAV,42.1,10000,420999.98,38.69047619047619,207.0,ILLIQUID
SPRL,81.9,5080,416052.01,38.392857142857146,208.0,ILLIQUID
NAMAN,48.2,8600,414520.01,38.095238095238095,209.0,ILLIQUID
KLL,38.9,10640,413896.02,37.797619047619044,210.0,ILLIQUID
SHBAJRG,181.18,2201,398786.22,37.5,211.0,ILLIQUID
DEEM,55.85,6800,379779.99,37.202380952380956,212.0,ILLIQUID
CRAYONS,34.2,11050,377910.01,36.904761904761905,213.0,ILLIQUID
SAPPL,269.75,1398,377299.32,36.607142857142854,214.0,ILLIQUID
GUJRAFFIA,42.69,8502,362958.91,36.30952380952381,215.0,ILLIQUID
BAWEJA,31.0,11400,353400.0,36.01190476190476,216.0,ILLIQUID
HOMESFY,100.95,3495,352820.24,35.714285714285715,217.0,ILLIQUID
ROXHITECH,36.35,9680,351867.99,35.41666666666667,218.0,ILLIQUID
ARABIAN,67.5,5200,351000.0,35.11904761904761,219.0,ILLIQUID
MEDIORG,21.6,16000,345600.01,34.82142857142857,220.0,ILLIQUID
SYLVANPLY,54.0,6100,329400.0,34.523809523809526,221.0,ILLIQUID
THACKER,1435.2,225,323278.79,34.226190476190474,222.0,ILLIQUID
MARCO,34.65,8700,301455.01,33.92857142857143,223.0,ILLIQUID
MHHL,37.0,8100,299700.0,33.63095238095239,224.0,ILLIQUID
SONAMAC,38.5,7650,294525.0,33.33333333333333,225.0,ILLIQUID
DOLLEX,31.45,9200,289340.01,33.035714285714285,226.0,ILLIQUID
SERVICE,51.0,5400,275400.0,32.73809523809524,227.0,ILLIQUID
MOXSH,109.5,2480,271560.0,32.44047619047619,228.0,ILLIQUID
FALCONTECH,14.4,18480,266111.99,32.142857142857146,229.0,ILLIQUID
GSTL,21.25,12350,262437.5,31.845238095238095,230.0,ILLIQUID
PURVFLEXI,52.0,4880,253760.0,31.547619047619047,231.0,ILLIQUID
KONSTELEC,49.8,4850,241530.0,31.25,232.0,ILLIQUID
MOIPO,43.0,5541,238297.4,30.952380952380953,233.0,ILLIQUID
RADIOWALLA,29.7,7920,235224.01,30.654761904761905,234.0,ILLIQUID
PENTAGON,59.8,3900,233220.0,30.357142857142854,235.0,ILLIQUID
SLONE,165.0,1380,227700.0,30.059523809523807,236.0,ILLIQUID
SONUINFRA,46.45,4800,222960.0,29.761904761904763,237.0,ILLIQUID
EMKAYTOOLS,102.0,2175,221850.0,29.464285714285715,238.0,ILLIQUID
SRIVASAVI,49.95,4350,217282.5,29.166666666666668,239.0,ILLIQUID
PRECISION,8.3,25100,208330.0,28.869047619047617,240.0,ILLIQUID
VELJAN,1065.1,194,207268.46,28.57142857142857,241.0,ILLIQUID
