Symbol,RS_5D,RS_15D,RS_30D,RS_60D,RS_ACCELERATION,VOLATILITY,VOL_ADJ_RS,Momentum,Sharpe,Institutional Score
VIJIFIN.NS,1.91,-9.03,22.8,98.29,-20.89,0.5626,40.53,68.09400000000001,174.71,93.98
CELLECOR.NS,-5.04,-7.12,26.23,61.69,-31.27,0.4858,53.99,47.506,126.99,93.98
CUPID.NS,5.64,-0.32,29.4,69.71,-23.76,0.6483,45.35,53.58599999999999,107.53,93.86
ASTRAMICRO.NS,11.42,20.18,27.59,48.91,-16.17,0.4145,66.56,40.382,118.0,93.82
AIMTRON.NS,6.91,12.64,25.23,67.91,-18.32,0.5138,49.1,50.837999999999994,132.17,93.81
BLUECOAST.NS,-0.72,-2.64,27.45,56.79,-28.17,0.4846,56.64,45.054,117.19,93.78
ADANIPOWER.NS,0.7,4.9,19.98,75.75,-19.28,0.3931,50.83,53.44199999999999,192.7,93.76
SAREGAMA.NS,15.75,30.61,35.61,44.8,-19.86,0.4864,73.21,41.123999999999995,92.11,93.74
SARTELE.NS,15.75,30.61,35.61,44.8,-19.86,0.4864,73.21,41.123999999999995,92.11,93.74
BIRLACABLE.NS,29.05,18.12,36.65,54.08,-7.6,0.6087,60.21,47.108000000000004,88.85,93.73
ELECTHERM.NS,38.35,41.39,45.03,55.75,-6.68,0.7112,63.32,51.461999999999996,78.39,93.72
NOIDATOLL.NS,-19.98,43.83,49.87,52.88,-69.85,0.7366,67.7,51.676,71.79,93.62
SANCO.NS,-20.07,-6.8,39.92,44.0,-59.99,0.5312,75.15,42.368,82.83,93.6
THYROCARE.NS,5.34,7.06,35.31,38.26,-29.97,0.4085,86.44,37.08,93.66,93.58
KIRLPNU.NS,-4.45,3.25,27.21,43.0,-31.66,0.3572,76.18,36.684,120.38,93.55
VIJAYA.NS,7.95,-2.75,30.57,37.41,-22.62,0.335,91.25,34.674,111.67,93.51
SOLARINDS.NS,2.05,14.28,25.95,45.5,-23.9,0.3658,70.94,37.68,124.38,93.4
RAIN.NS,13.43,22.82,55.39,43.1,-41.96,0.6446,85.93,48.016000000000005,66.86,93.39
DEEM.NS,66.63,57.99,47.44,56.35,19.19,0.8087,58.66,52.786,69.68,93.2
HIRECT.NS,15.91,22.32,27.14,66.58,-11.23,0.6212,43.69,50.804,107.18,93.19
GLAND.NS,1.12,21.87,33.06,35.69,-31.94,0.373,88.63,34.638,95.68,93.14
EMMVEE.NS,11.59,16.06,23.6,73.85,-12.01,0.5816,40.58,53.75,126.98,93.13
LAURUSLABS.NS,4.69,11.08,26.82,38.42,-22.13,0.3135,85.55,33.78,122.55,93.11
JAINAM.NS,-8.43,-12.34,48.74,29.86,-57.17,0.4068,119.81,37.412000000000006,73.4,93.1
ACUTAAS.NS,2.79,5.98,28.96,45.86,-26.17,0.4612,62.79,39.1,99.44,93.1
APCOTEXIND.NS,0.69,-0.15,31.15,42.78,-30.46,0.4533,68.72,38.128,94.37,93.03
HARDWYN.NS,7.46,11.69,22.31,63.12,-14.85,0.463,48.19,46.796,136.33,93.02
SKMEGGPROD.NS,29.84,31.51,33.85,48.98,-4.01,0.5776,58.6,42.928,84.8,93.0
TATATECH.NS,11.4,18.5,29.75,35.02,-18.35,0.3273,90.9,32.912,107.0,92.99
TALBROAUTO.NS,0.26,7.41,30.63,43.39,-30.37,0.4604,66.53,38.286,94.24,92.96
KOTYARK.NS,-1.39,4.19,21.14,87.09,-22.53,0.569,37.15,60.71,153.06,92.93
VILINBIO.NS,-2.12,-2.05,27.28,47.92,-29.4,0.4855,56.19,39.664,98.7,92.72
POWERINDIA.NS,1.13,8.16,26.26,47.71,-25.13,0.4616,56.89,39.13,103.36,92.7
ADANIENSOL.NS,8.63,12.79,22.72,58.01,-14.09,0.4633,49.04,43.894,125.21,92.68
JSFB.NS,5.62,10.07,30.85,42.82,-25.23,0.4736,65.14,38.032000000000004,90.41,92.62
RUBYMILLS.NS,7.36,25.95,23.87,70.92,-16.51,0.5996,39.81,52.1,118.28,92.62
GRWRHITECH.NS,3.54,10.53,47.11,43.84,-43.57,0.6542,72.01,45.148,67.01,92.61
NRBBEARING.NS,-5.05,12.02,26.79,42.7,-31.84,0.4072,65.79,36.336,104.86,92.59
EFFWA.NS,8.07,6.5,26.86,52.82,-18.79,0.5346,50.24,42.436,98.8,92.58
GRANULES.NS,4.58,4.03,22.58,42.72,-18.0,0.3135,72.03,34.664,136.27,92.57
NSLNISP.NS,20.19,24.59,28.78,39.74,-8.59,0.4132,69.65,35.356,96.18,92.49
DPEL.NS,0.58,-0.02,17.08,86.05,-16.5,0.428,39.91,58.461999999999996,201.05,92.44
VARDHACRLC.NS,9.62,2.74,29.34,42.51,-19.72,0.4694,62.51,37.242,90.56,92.36
BAJAJCON.NS,3.95,7.32,25.93,54.86,-21.98,0.5479,47.33,43.288,100.13,92.35
LLOYDS.NS,1.44,3.39,24.22,101.13,-22.78,0.8209,29.5,70.366,123.19,92.34
SHERA.NS,-1.21,8.39,28.37,47.69,-29.58,0.5303,53.5,39.961999999999996,89.93,92.15
KOPRAN.NS,4.64,23.41,25.48,56.75,-20.84,0.5757,44.26,44.242,98.58,92.12
SYRMA.NS,12.18,5.65,22.89,51.13,-10.71,0.4507,50.79,39.834,113.45,92.12
