Symbol,RS_5D,RS_15D,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS
WELCORP.NS,3.19,8.76,36.17,88.05,-32.980000000000004,92.1
MARC.NS,-1.56,0.23,36.15,60.67,-37.71,49.72
MIRCELECTR.NS,11.35,30.89,36.03,60.8,-24.68,51.16
ALKALI.NS,32.1,33.99,35.8,37.74,-3.6999999999999957,65.53
HIRECT.NS,17.13,30.64,35.68,73.37,-18.55,57.44
BLSE.NS,6.0,12.53,35.57,48.16,-29.57,81.86
SKIPPER.NS,10.19,7.27,35.53,48.16,-25.340000000000003,78.08
AQYLON.NS,0.72,18.97,35.5,-53.35,-34.78,24.76
SILKFLEX.NS,-12.07,-12.71,35.04,62.19,-47.11,60.49
SCHNEIDER.NS,4.87,9.32,34.94,63.36,-30.069999999999997,71.75
CYIENTDLM.NS,2.85,4.99,34.9,43.04,-32.05,85.28
DEEPAKFERT.NS,8.76,13.88,34.78,54.92,-26.020000000000003,69.1
CPPLUS.NS,8.82,9.18,34.71,90.38,-25.89,87.3
RITCO.NS,0.87,21.94,34.53,27.25,-33.660000000000004,67.15
VIVIANA.NS,22.09,21.47,34.41,47.44,-12.319999999999997,48.67
HCC.NS,9.9,-2.19,34.03,35.85,-24.130000000000003,59.2
GLAND.NS,3.02,29.95,33.78,36.47,-30.76,90.41
IRMENERGY.NS,-2.58,-13.61,33.74,23.6,-36.32,60.11
ADOR.NS,9.52,10.15,33.65,16.63,-24.13,90.67
JARO.NS,7.87,41.17,33.65,38.02,-25.779999999999998,53.62
RAYMOND.NS,-2.77,4.39,33.56,41.11,-36.330000000000005,65.11
SHERA.NS,-1.66,2.79,33.47,44.6,-35.129999999999995,63.08
SHREEJISPG.NS,5.6,11.44,33.38,24.36,-27.78,69.95
BAJAJCON.NS,0.92,16.43,32.98,48.27,-32.059999999999995,59.99
GRCL.NS,-8.97,10.94,32.95,38.6,-41.92,67.05
APTECHT.NS,16.48,9.74,32.89,35.23,-16.41,65.34
KESORAMIND.NS,9.99,24.36,32.84,56.02,-22.85,42.93
PATTECH.NS,-1.04,1.77,32.8,16.96,-33.839999999999996,76.03
JPPOWER.NS,23.61,20.54,32.76,69.02,-9.149999999999999,56.33
SENORES.NS,1.67,23.75,32.64,51.94,-30.97,79.14
DCMNVL.NS,6.04,-3.93,32.63,19.38,-26.590000000000003,62.19
AIMTRON.NS,7.57,10.55,32.41,56.2,-24.839999999999996,62.83
KIRLPNU.NS,0.53,8.11,32.39,53.89,-31.86,91.94
MARALOVER.NS,5.39,30.69,32.3,34.07,-26.909999999999997,57.17
STLNETWORK.NS,11.49,-0.83,32.23,48.34,-20.739999999999995,51.81
POWERINDIA.NS,4.6,14.49,32.21,60.36,-27.61,71.32
MANORG.NS,-1.97,-2.69,32.18,43.63,-34.15,53.12
SEYAIND.NS,-4.2,2.67,32.0,18.47,-36.2,72.38
JNKINDIA.NS,1.28,5.86,31.98,65.79,-30.7,54.47
GPECO.NS,36.76,35.95,31.96,61.76,4.799999999999997,49.86
ROCKINGDCE.NS,13.26,9.09,31.96,13.18,-18.700000000000003,49.08
DREDGECORP.NS,8.38,27.23,31.92,37.87,-23.54,47.88
PARAGON.NS,12.88,5.08,31.87,22.07,-18.990000000000002,46.1
