Symbol,RS_5D,RS_15D,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS
ELGIEQUIP.NS,1.18,7.23,11.77,13.66,-10.59,31.19
MGEL.NS,6.21,3.02,11.72,35.9,-5.510000000000001,21.05
SRF.NS,3.64,2.42,11.71,12.65,-8.07,33.95
PRAKASH.NS,2.12,1.45,11.71,19.39,-9.59,25.14
SPECIALITY.NS,5.24,11.72,11.69,20.29,-6.449999999999999,26.08
DIVISLAB.NS,-2.41,3.22,11.68,15.56,-14.09,53.24
JAYAGROGN.NS,2.68,9.93,11.66,33.13,-8.98,25.16
21STCENMGM.NS,7.48,-1.26,11.65,-0.82,-4.17,44.54
DIXON.NS,5.79,5.89,11.62,18.79,-5.829999999999999,24.78
RATNAMANI.NS,0.81,-3.79,11.62,10.63,-10.809999999999999,21.24
DAVANGERE.NS,-1.51,12.99,11.62,2.38,-13.129999999999999,20.59
REMUS.NS,-17.55,1.37,11.58,11.6,-29.130000000000003,18.74
DLINKINDIA.NS,1.35,6.27,11.57,22.97,-10.22,31.5
MMTC.NS,2.15,0.95,11.56,13.78,-9.41,20.54
BANSWRAS.NS,-1.77,-2.05,11.54,18.3,-13.309999999999999,27.97
PRAJIND.NS,-1.81,-2.79,11.54,33.67,-13.35,23.83
NBCC.NS,5.44,6.23,11.49,11.62,-6.05,28.78
PTCIL.NS,4.54,-1.38,11.49,-0.84,-6.95,35.85
BALKRISHNA.NS,-0.4,2.32,11.49,24.35,-11.89,22.29
PTC.NS,-4.38,-11.63,11.48,21.89,-15.86,30.5
NAHARSPING.NS,1.65,-3.24,11.47,40.26,-9.82,25.25
TEJASNET.NS,4.87,8.59,11.38,65.81,-6.510000000000001,15.77
COFFEEDAY.NS,18.21,10.42,11.37,-1.56,6.840000000000002,19.96
MHLXMIRU.NS,6.13,2.35,11.35,1.37,-5.22,28.37
SIL.NS,3.67,6.41,11.33,7.59,-7.66,28.17
SUNPHARMA.NS,-2.93,1.45,11.33,13.26,-14.26,49.03
PIDILITIND.NS,0.67,6.01,11.32,6.36,-10.65,45.54
CAMS.NS,-0.2,-1.83,11.28,18.01,-11.479999999999999,34.25
AAREYDRUGS.NS,-7.24,-9.23,11.27,12.25,-18.509999999999998,17.48
FOSECOIND.NS,-5.92,6.73,11.23,12.81,-17.15,24.0
ORISSAMINE.NS,0.96,-0.54,11.22,5.73,-10.260000000000002,24.04
SCILAL.NS,-0.57,2.32,11.22,10.02,-11.790000000000001,26.83
BALRAMCHIN.NS,-1.14,2.81,11.2,23.4,-12.34,32.47
CHENNPETRO.NS,2.96,-0.07,11.13,23.15,-8.170000000000002,24.03
SILGO.NS,3.11,8.08,11.12,19.45,-8.01,27.25
TATACONSUM.NS,-0.54,7.3,11.12,9.67,-11.66,44.85
STARHEALTH.NS,-0.11,2.53,11.1,22.45,-11.209999999999999,49.08
TIRUMALCHM.NS,-0.36,-1.16,11.1,17.83,-11.459999999999999,22.86
BIRDYS.NS,-10.68,-6.09,11.1,7.79,-21.78,34.6
5PAISA.NS,6.77,0.48,11.08,8.57,-4.3100000000000005,23.63
SIYSIL.NS,0.76,4.3,11.08,14.96,-10.32,24.9
ICEMAKE.NS,15.59,13.7,11.06,13.55,4.529999999999999,29.21
KICL.NS,-0.04,6.83,11.06,11.29,-11.1,34.46
GLOBALE.NS,6.63,-4.32,11.04,30.01,-4.409999999999999,24.33
PCCL.NS,-2.76,-8.74,11.04,39.95,-13.799999999999999,22.53
KNRCON.NS,1.68,1.25,11.02,3.49,-9.34,23.66
MODEFENCE.NS,1.81,3.07,11.0,22.96,-9.19,37.6
ASTERDM.NS,-4.09,3.19,10.99,24.1,-15.08,36.22
VINCOFE.NS,13.72,12.72,10.98,11.38,2.74,27.22
VINSYS.NS,16.07,18.64,10.96,28.25,5.109999999999999,21.24
CRAYONS.NS,12.4,12.57,10.96,2.57,1.4399999999999995,12.64
LATTEYS.NS,-0.54,10.19,10.95,15.61,-11.489999999999998,18.34
DATAMATICS.NS,0.11,1.26,10.94,3.32,-10.83,22.06
CAPTRUST.NS,7.61,12.09,10.93,18.47,-3.3199999999999994,24.31
ZENTEC.NS,4.59,10.1,10.92,36.08,-6.33,28.79
LIBAS.NS,-0.8,0.49,10.92,31.12,-11.72,31.55
NATCAPSUQ.NS,7.68,9.09,10.87,13.72,-3.1899999999999995,24.4
SOUTHWEST.NS,8.92,22.13,10.86,55.43,-1.9399999999999995,18.95
JAICORPLTD.NS,3.76,-0.68,10.86,11.77,-7.1,24.84
KOTHARIPRO.NS,0.04,3.03,10.85,16.01,-10.81,21.87
JUBLPHARMA.NS,-3.23,5.52,10.85,19.99,-14.08,36.76
PWL.NS,-1.53,5.34,10.82,30.81,-12.35,21.48
CERA.NS,-0.19,9.69,10.81,23.45,-11.0,34.36
NAHARCAP.NS,4.93,-0.03,10.78,20.18,-5.85,27.98
63MOONS.NS,-9.2,-13.23,10.78,11.79,-19.979999999999997,19.05
INDIANCARD.NS,8.75,9.67,10.76,12.08,-2.01,30.75
SPLIL.NS,7.14,-0.01,10.74,14.9,-3.6000000000000005,20.32
ATUL.NS,-0.89,0.26,10.7,15.14,-11.59,37.8
NELCO.NS,3.1,0.73,10.69,19.1,-7.59,23.92
ELECTHERM.NS,8.81,-1.0,10.68,15.51,-1.8699999999999992,16.04
POCL.NS,-11.37,-4.38,10.68,24.49,-22.049999999999997,20.83
ASAHIINDIA.NS,9.66,11.1,10.64,4.63,-0.9800000000000004,28.25
BALUFORGE.NS,5.57,-8.18,10.63,16.61,-5.0600000000000005,17.99
BBL.NS,3.0,3.78,10.62,24.12,-7.619999999999999,24.49
OPTIEMUS.NS,-2.22,-6.09,10.62,8.18,-12.84,20.43
TATSILV.NS,-2.2,8.22,10.55,5.93,-12.75,13.03
NSLNISP.NS,5.37,8.82,10.54,26.57,-5.169999999999999,29.17
PRINCEPIPE.NS,-0.57,3.48,10.51,13.12,-11.08,25.84
KRBL.NS,8.05,-2.71,10.5,8.89,-2.4499999999999993,25.11
360ONE.NS,-0.62,4.4,10.5,6.84,-11.12,34.65
AGARWALEYE.NS,3.32,6.59,10.49,12.04,-7.17,41.24
AARTIDRUGS.NS,1.36,-0.65,10.47,12.51,-9.110000000000001,33.06
CAPITALSFB.NS,0.25,4.89,10.44,15.41,-10.19,35.93
LUMAXIND.NS,10.3,15.64,10.43,6.84,-0.129999999999999,17.75
TRIGYN.NS,4.17,1.77,10.43,21.33,-6.26,19.25
MARICO.NS,-1.59,4.15,10.42,9.42,-12.01,54.61
AERONEU.NS,-4.69,4.87,10.37,37.07,-15.059999999999999,19.97
SGMART.NS,-4.25,12.81,10.34,48.61,-14.59,24.83
JUBLCPL.NS,6.78,6.72,10.31,5.81,-3.5300000000000002,19.53
TARIL.NS,4.6,4.78,10.29,13.23,-5.6899999999999995,15.36
TVSSCS.NS,5.84,5.76,10.25,10.96,-4.41,22.92
BLKASHYAP.NS,-4.77,-4.51,10.25,19.91,-15.02,18.49
HINDWAREAP.NS,4.8,5.74,10.23,6.68,-5.430000000000001,18.27
SUNDRMFAST.NS,3.17,2.64,10.21,0.73,-7.040000000000001,37.28
TCL.NS,2.5,4.86,10.2,6.78,-7.699999999999999,21.96
LOYALTEX.NS,-2.4,1.0,10.19,9.16,-12.59,17.04
SWELECTES.NS,3.09,-5.02,10.12,30.89,-7.029999999999999,22.72
XPROINDIA.NS,7.56,6.35,10.09,41.53,-2.5300000000000002,19.39
SMARTWORKS.NS,0.6,-0.68,10.09,11.62,-9.49,26.32
RBA.NS,-0.11,4.17,10.09,15.49,-10.2,37.12
KALPATARU.NS,3.39,0.41,10.06,5.45,-6.67,22.34
RUBYMILLS.NS,9.06,7.54,10.05,40.01,-0.9900000000000002,17.63
PRECISION.NS,-4.61,1.77,10.05,-15.35,-14.66,19.95
CREATIVEYE.NS,-0.46,1.33,10.04,7.74,-10.5,15.91
CMRSL.NS,-10.68,-7.66,10.02,10.4,-20.7,20.88
KRONOX.NS,7.19,3.54,10.0,30.13,-2.8099999999999996,22.01
JBCHEPHARM.NS,0.82,4.75,10.0,13.22,-9.18,46.47
IMPAL.NS,7.91,10.59,9.95,12.45,-2.039999999999999,39.97
IDFCFIRSTB.NS,3.71,4.54,9.91,7.11,-6.2,26.25
EMAMIPAP.NS,-0.93,-0.58,9.91,-2.0,-10.84,27.61
IKIO.NS,0.34,-9.51,9.89,16.41,-9.55,21.0
GIPCL.NS,8.46,1.94,9.88,19.57,-1.42,27.04
ACCURACY.NS,5.32,12.79,9.88,24.48,-4.5600000000000005,16.16
RBLBANK.NS,4.91,5.53,9.87,13.61,-4.959999999999999,30.0
TAINWALCHM.NS,-0.21,0.82,9.86,15.34,-10.07,15.0
SHEETAL.NS,-5.48,10.38,9.86,21.91,-15.34,29.64
KREBSBIO.NS,22.25,14.02,9.85,25.16,12.4,16.1
FLUOROCHEM.NS,-2.85,-1.66,9.85,10.66,-12.7,29.81
PYRAMID.NS,-1.98,-0.37,9.83,17.95,-11.81,24.95
INDIFRA.NS,3.34,10.78,9.82,5.23,-6.48,27.55
BAJAJ-AUTO.NS,2.23,6.6,9.81,16.95,-7.58,38.65
BOHRAIND.NS,-3.46,-5.02,9.81,6.86,-13.27,18.86
OMFREIGHT.NS,-4.86,-0.68,9.8,6.85,-14.66,21.64
TENNIND.NS,1.87,-3.87,9.78,15.68,-7.909999999999999,23.94
APOLLOHOSP.NS,1.34,8.49,9.76,13.95,-8.42,48.29
DEVYANI.NS,-0.24,-1.46,9.76,-3.77,-10.0,21.71
BAJEL.NS,3.39,3.09,9.73,22.0,-6.34,18.51
VAISHALI.NS,1.96,-4.13,9.72,-1.13,-7.760000000000001,15.21
LASA.NS,1.51,4.64,9.68,7.89,-8.17,19.31
GAIL.NS,7.46,3.81,9.65,7.07,-2.1900000000000004,33.64
ASAL.NS,5.08,-1.51,9.6,17.72,-4.52,21.22
BODALCHEM.NS,5.69,8.0,9.59,65.93,-3.8999999999999995,18.13
CHEMICAL.NS,1.1,2.43,9.52,13.77,-8.42,44.03
BALMLAWRIE.NS,0.3,-4.29,9.49,11.51,-9.19,33.1
STCINDIA.NS,5.26,4.25,9.48,12.3,-4.220000000000001,19.41
SONATSOFTW.NS,-1.52,0.24,9.45,4.62,-10.969999999999999,21.14
JASH.NS,10.97,2.06,9.44,14.23,1.5300000000000011,23.91
HUDCO.NS,-0.89,-5.63,9.42,16.21,-10.31,25.33
KARMAENG.NS,-1.79,-9.65,9.42,11.31,-11.21,18.76
HDBFS.NS,-0.92,0.11,9.37,-0.0,-10.29,32.12
MOKSH.NS,-3.6,-12.05,9.37,0.11,-12.969999999999999,19.24
AFIL.NS,6.02,9.75,9.36,46.96,-3.34,17.3
KIRLOSIND.NS,-0.37,-2.66,9.35,19.27,-9.719999999999999,20.55
IRISDOREME.NS,-1.07,1.08,9.34,19.0,-10.41,21.58
LATENTVIEW.NS,-1.36,6.13,9.34,-2.37,-10.7,17.06
TRENT.NS,2.55,0.8,9.33,14.93,-6.78,26.29
VINATIORGA.NS,-1.36,-2.61,9.31,-6.35,-10.67,35.23
NIRAJISPAT.NS,1.81,-9.12,9.3,-18.92,-7.49,12.61
HYUNDAI.NS,5.95,5.85,9.29,-5.78,-3.339999999999999,32.36
IGIL.NS,3.91,3.99,9.29,19.21,-5.379999999999999,22.9
BANG.NS,3.85,-2.63,9.29,-0.71,-5.4399999999999995,19.86
MANCREDIT.NS,11.78,13.11,9.27,15.89,2.51,28.6
VMSTMT.NS,1.02,-1.63,9.26,10.54,-8.24,18.61
TIIL.NS,-0.08,5.66,9.25,17.74,-9.33,21.53
AKSHARCHEM.NS,1.1,-3.36,9.16,-2.46,-8.06,21.76
UMA.NS,-4.9,-2.2,9.15,13.86,-14.05,21.33
INOXWIND.NS,-0.48,-8.96,9.14,7.22,-9.620000000000001,21.64
IRIS.NS,6.17,11.01,9.11,9.81,-2.9399999999999995,20.64
HEXT.NS,-1.81,12.6,9.1,15.4,-10.91,21.7
HGINFRA.NS,0.76,-1.85,9.09,13.18,-8.33,18.76
AEGISVOPAK.NS,1.99,4.15,9.08,-3.94,-7.09,18.71
AVTNPL.NS,0.81,2.64,9.06,11.67,-8.25,27.95
ELLEN.NS,-8.63,-4.36,9.06,16.3,-17.69,16.23
MODIRUBBER.NS,-0.9,-7.21,9.02,12.89,-9.92,13.98
ADVAIT.NS,2.46,6.28,9.01,27.71,-6.55,14.84
PONNIERODE.NS,-1.68,-1.51,9.01,22.47,-10.69,27.75
BHARATSE.NS,2.84,-3.24,9.0,1.86,-6.16,14.86
AGI.NS,1.11,-6.42,8.99,13.48,-7.88,17.74
GEECEE.NS,-5.26,9.97,8.99,18.3,-14.25,19.7
VINEETLAB.NS,-0.21,-5.57,8.98,23.05,-9.190000000000001,16.23
NIPPOBATRY.NS,8.4,-14.31,8.93,15.6,-0.5299999999999994,16.56
PKTEA.NS,6.84,-4.66,8.93,13.53,-2.09,18.16
MNC.NS,2.09,2.63,8.92,10.48,-6.83,41.53
HAPPYFORGE.NS,1.59,6.51,8.92,13.32,-7.33,23.14
WINSOL.NS,-4.36,-8.09,8.88,-0.71,-13.240000000000002,19.19
INDOWIND.NS,-1.04,-7.68,8.87,7.56,-9.91,15.19
DANGEE.NS,7.0,-0.53,8.85,21.04,-1.8499999999999996,13.67
NATCOPHARM.NS,0.63,4.05,8.85,32.34,-8.219999999999999,24.78
CIGNITITEC.NS,-5.24,7.36,8.85,-1.05,-14.09,21.67
SHREEPUSHK.NS,1.24,-4.76,8.82,26.51,-7.58,17.15
EVERESTIND.NS,3.05,-2.66,8.81,5.5,-5.760000000000001,17.63
AKSHOPTFBR.NS,-5.76,-8.6,8.81,34.68,-14.57,14.47
SCHAND.NS,-3.83,5.7,8.79,18.44,-12.62,24.04
KRYSTAL.NS,-0.76,-3.77,8.77,-0.8,-9.53,17.93
HARRMALAYA.NS,-3.34,-7.5,8.76,15.34,-12.1,22.01
JYOTISTRUC.NS,6.67,-0.05,8.75,12.6,-2.08,13.25
JTLIND.NS,4.87,-10.6,8.74,16.94,-3.87,11.71
VSSL.NS,-1.13,0.26,8.73,17.84,-9.86,24.99
NELCAST.NS,1.24,-3.28,8.71,27.27,-7.470000000000001,14.98
ISHANCH.NS,2.48,6.8,8.7,11.13,-6.219999999999999,18.23
GKWLIMITED.NS,0.73,-4.16,8.68,8.2,-7.949999999999999,27.16
COLPAL.NS,-5.48,-1.52,8.66,-0.73,-14.14,32.2
AAKASH.NS,-2.25,10.61,8.65,9.93,-10.9,13.86
TNPL.NS,-2.26,-3.89,8.64,16.99,-10.9,28.62
HLEGLAS.NS,5.99,-1.98,8.62,10.65,-2.629999999999999,19.67
INTELLECT.NS,1.85,-7.87,8.61,8.35,-6.76,21.09
KPIL.NS,1.43,1.3,8.55,12.44,-7.120000000000001,25.93
SOTAC.NS,-1.3,6.57,8.53,2.65,-9.83,22.44
GLOTTIS.NS,-8.29,13.81,8.51,39.37,-16.799999999999997,14.51
EVEREADY.NS,-0.09,1.08,8.5,5.43,-8.59,25.01
GLENMARK.NS,-0.79,2.09,8.45,23.2,-9.239999999999998,28.4
SHYAMCENT.NS,-1.04,-14.53,8.44,1.85,-9.48,18.58
KPITTECH.NS,1.73,4.93,8.43,7.93,-6.699999999999999,22.49
JSWSTEEL.NS,0.97,4.65,8.43,10.99,-7.46,30.98
HBLENGINE.NS,5.39,-2.65,8.42,24.1,-3.0300000000000002,18.2
PANSARI.NS,10.43,-5.99,8.39,7.2,2.039999999999999,16.35
INDIQUBE.NS,-6.6,-4.51,8.39,0.08,-14.99,20.71
SONACOMS.NS,4.02,8.08,8.38,24.27,-4.360000000000001,24.24
RTNINDIA.NS,2.2,-2.18,8.37,23.69,-6.169999999999999,16.25
AWFIS.NS,9.09,-3.41,8.36,20.71,0.7300000000000004,14.49
SWANDEF.NS,1.12,7.65,8.36,22.71,-7.239999999999999,19.33
INOXGREEN.NS,-4.61,-8.86,8.36,5.22,-12.969999999999999,16.41
VTL.NS,-3.35,-0.63,8.33,17.35,-11.68,24.23
SUDEEPPHRM.NS,2.71,1.78,8.31,11.38,-5.6000000000000005,19.08
NKIND.NS,-0.8,4.1,8.31,14.73,-9.110000000000001,17.92
ETERNAL.NS,4.32,1.96,8.3,7.4,-3.9800000000000004,21.53
NH.NS,-0.11,6.19,8.3,12.14,-8.41,29.11
DENTALKART.NS,-3.09,-4.15,8.3,-9.12,-11.39,14.99
BORORENEW.NS,-2.51,-5.19,8.27,16.2,-10.78,18.92
BBTCL.NS,8.96,7.33,8.26,24.28,0.7000000000000011,20.67
TORNTPHARM.NS,1.39,5.96,8.24,9.73,-6.8500000000000005,38.45
MAITHANALL.NS,5.46,4.93,8.22,9.15,-2.7600000000000007,18.99
VELS.NS,-1.04,1.77,8.2,32.04,-9.239999999999998,18.8
RAMCOSYS.NS,16.16,14.09,8.19,5.95,7.970000000000001,13.76
ROLEXRINGS.NS,-2.48,-0.89,8.19,8.4,-10.67,16.44
VMART.NS,3.82,4.0,8.18,24.23,-4.359999999999999,18.52
VINYAS.NS,16.19,-1.09,8.16,18.55,8.030000000000001,17.88
ADSL.NS,-2.5,-6.08,8.11,9.3,-10.61,14.51
UNIMECH.NS,5.19,-2.63,8.1,18.32,-2.9099999999999993,16.28
SHIVATEX.NS,-8.49,-5.87,8.1,7.08,-16.59,19.27
IPCALAB.NS,-5.5,2.29,8.07,10.35,-13.57,32.13
FACT.NS,5.36,2.71,8.04,29.68,-2.679999999999999,16.34
COMPINFO.NS,-7.45,1.0,8.04,-1.25,-15.489999999999998,18.36
MASKINVEST.NS,1.29,-3.59,8.02,3.96,-6.7299999999999995,12.2
FELIX.NS,-0.94,-7.13,8.02,15.18,-8.959999999999999,17.08
EPACKPEB.NS,-2.32,-8.09,8.01,10.09,-10.33,13.59
XCHANGING.NS,-0.62,-1.59,7.98,7.59,-8.6,20.5
MADHUCON.NS,-13.86,-7.25,7.97,17.07,-21.83,16.51
INDIAGLYCO.NS,-0.28,-6.8,7.94,15.58,-8.22,19.45
RATNAVEER.NS,-7.99,-5.26,7.92,13.14,-15.91,15.06
NUVOCO.NS,4.32,9.69,7.88,5.36,-3.5599999999999996,22.22
IKS.NS,-0.5,0.06,7.87,19.6,-8.370000000000001,20.82
JMA.NS,7.72,1.16,7.85,6.89,-0.1299999999999999,20.66
PIONEEREMB.NS,-2.66,1.73,7.85,3.56,-10.51,14.54
BANCOINDIA.NS,4.86,0.21,7.84,3.56,-2.9799999999999995,18.04
ABCAPITAL.NS,2.27,0.56,7.84,11.1,-5.57,23.11
ORBTEXP.NS,4.25,7.48,7.82,7.23,-3.5700000000000003,18.33
SCHAEFFLER.NS,2.48,0.9,7.82,9.14,-5.34,23.83
DYCL.NS,8.3,-17.2,7.81,24.53,0.4900000000000011,13.63
ALPHA.NS,1.82,4.15,7.8,12.23,-5.9799999999999995,34.92
XTGLOBAL.NS,1.56,0.82,7.8,17.43,-6.24,11.48
GAYAPROJ.NS,11.44,0.37,7.79,55.59,3.6499999999999995,22.93
UFLEX.NS,0.52,-5.17,7.79,-4.78,-7.27,19.33
MANALIPETC.NS,5.91,5.9,7.77,17.55,-1.8599999999999994,16.98
NDLVENTURE.NS,-1.55,9.64,7.76,21.95,-9.31,14.95
MAMATA.NS,4.04,-0.39,7.75,3.28,-3.71,19.06
INOXINDIA.NS,4.13,2.87,7.73,40.38,-3.6000000000000005,22.52
FIVESTAR.NS,1.28,-4.57,7.73,13.41,-6.45,18.22
SAKSOFT.NS,2.42,0.03,7.7,4.35,-5.28,16.22
ABDL.NS,0.38,0.85,7.7,15.8,-7.32,17.7
ZEEMEDIA.NS,2.25,1.89,7.68,0.94,-5.43,15.74
HARSHA.NS,-2.18,3.56,7.68,16.16,-9.86,20.98
YATHARTH.NS,-4.95,0.72,7.67,22.83,-12.620000000000001,19.27
ZODIACLOTH.NS,-1.26,-1.47,7.66,1.18,-8.92,17.56
RAINBOW.NS,1.55,9.2,7.65,22.13,-6.1000000000000005,30.25
AGARIND.NS,5.61,-3.89,7.64,-18.48,-2.0299999999999994,14.48
TATACHEM.NS,5.01,-3.39,7.64,16.02,-2.63,21.45
APCL.NS,9.21,8.17,7.63,4.86,1.580000000000001,16.55
CARERATING.NS,-4.57,1.27,7.63,10.16,-12.2,22.52
EVINDIA.NS,3.36,3.26,7.62,8.57,-4.26,34.82
RTNPOWER.NS,7.01,-1.63,7.6,25.17,-0.5899999999999999,18.87
PARIN.NS,2.24,8.21,7.56,0.98,-5.319999999999999,16.88
SEAMECLTD.NS,-0.03,8.14,7.55,32.51,-7.58,21.21
SMLT.NS,-1.99,2.89,7.54,11.79,-9.53,13.54
GRINFRA.NS,-4.0,-5.64,7.54,-1.62,-11.54,27.53
ABBOTINDIA.NS,0.01,7.33,7.52,11.87,-7.51,34.57
AONETMMQ50.NS,1.67,4.87,7.51,14.29,-5.84,36.88
AARVI.NS,7.44,9.26,7.5,15.78,-0.05999999999999961,18.23
ENGINERSIN.NS,-3.91,-9.07,7.45,16.39,-11.36,14.37
GILLETTE.NS,6.55,6.58,7.43,4.53,-0.8799999999999999,27.98
3IINFOLTD.NS,-2.95,1.01,7.43,30.48,-10.379999999999999,22.93
UNITECH.NS,12.91,7.37,7.4,11.74,5.51,10.73
BMWVENTLTD.NS,1.23,-0.55,7.4,10.19,-6.17,18.01
KPRMILL.NS,-3.21,-0.12,7.39,8.36,-10.6,16.78
IGPL.NS,1.4,1.52,7.36,27.71,-5.960000000000001,16.17
HAL.NS,0.94,-2.93,7.35,18.73,-6.41,22.85
QMSMEDI.NS,-0.45,-4.02,7.35,2.58,-7.8,15.99
AWL.NS,-2.68,-5.25,7.35,7.31,-10.03,23.35
VIVO.NS,-1.46,9.54,7.34,14.46,-8.8,34.18
BHARATFORG.NS,1.6,5.29,7.33,10.94,-5.73,22.68
ACMESOLAR.NS,7.38,4.91,7.3,40.33,0.08000000000000007,18.15
CINEVISTA.NS,-3.2,-0.52,7.28,6.42,-10.48,14.34
SOBHA.NS,0.65,-2.21,7.27,1.92,-6.619999999999999,20.62
NMDC.NS,3.21,5.31,7.25,21.46,-4.04,22.79
GKENERGY.NS,-2.73,-6.93,7.24,12.26,-9.97,12.91
SOMATEX.NS,0.55,-12.26,7.23,-7.39,-6.680000000000001,14.7
SHAH.NS,4.55,-4.53,7.22,18.16,-2.67,18.36
SANDESH.NS,1.2,-6.64,7.21,6.66,-6.01,24.59
SUNDROP.NS,-0.42,2.38,7.2,9.36,-7.62,23.97
PREMIERENE.NS,4.31,3.13,7.18,43.26,-2.87,18.5
GUJALKALI.NS,-5.16,-11.09,7.18,53.83,-12.34,14.22
MITTAL.NS,0.96,11.73,7.16,8.5,-6.2,11.62
TASTYBITE.NS,1.96,5.85,7.15,11.5,-5.19,17.31
VAIBHAVGBL.NS,-0.2,2.65,7.13,5.12,-7.33,14.76
EPIGRAL.NS,-3.31,-9.58,7.12,37.01,-10.43,14.85
JAGSNPHARM.NS,3.78,1.27,7.11,28.28,-3.3300000000000005,20.97
BIRLACORPN.NS,1.5,4.95,7.08,7.17,-5.58,17.59
MAKEINDIA.NS,1.65,2.95,7.05,9.65,-5.4,36.47
SURYALAXMI.NS,-0.31,-0.55,7.05,3.6,-7.359999999999999,13.49
CELLPOINT.NS,10.09,9.56,7.04,23.57,3.05,12.43
SOUTHBANK.NS,-1.64,-1.55,7.04,6.32,-8.68,16.35
SADHAV.NS,6.16,3.75,7.03,7.72,-0.8700000000000001,13.82
PRESTIGE.NS,-0.18,-2.1,7.02,4.42,-7.199999999999999,20.49
INDGN.NS,-0.02,-0.92,7.01,15.01,-7.029999999999999,23.18
RHIM.NS,6.12,3.09,7.0,0.09,-0.8799999999999999,17.7
ANURAS.NS,-1.29,2.34,7.0,14.66,-8.29,26.67
BUTTERFLY.NS,-0.55,9.38,6.99,18.75,-7.54,15.12
EKC.NS,4.21,0.46,6.97,11.81,-2.76,14.98
ALLTIME.NS,-5.95,-11.77,6.97,-0.97,-12.92,13.35
JKIL.NS,5.33,-0.24,6.96,-2.17,-1.63,18.82
GRAVITA.NS,2.22,-5.37,6.95,12.32,-4.73,18.37
AUROPHARMA.NS,-6.36,-1.53,6.88,31.14,-13.24,24.53
AROGRANITE.NS,4.44,2.58,6.85,5.99,-2.4099999999999993,14.15
HPIL.NS,1.81,1.65,6.84,11.24,-5.029999999999999,16.08
HINDOILEXP.NS,1.29,12.15,6.84,35.81,-5.55,12.08
WEL.NS,-12.49,-11.96,6.84,-29.64,-19.33,12.37
BAJAJHLDNG.NS,-0.21,1.24,6.79,-0.92,-7.0,25.44
GPTINFRA.NS,-1.47,2.3,6.79,2.87,-8.26,16.02
LAKPRE.NS,-12.99,3.29,6.77,21.99,-19.759999999999998,11.79
GANESHBE.NS,-2.38,-0.64,6.76,27.49,-9.14,14.14
NESCO.NS,-3.25,-2.97,6.76,16.29,-10.01,20.87
STARTECK.NS,6.1,7.17,6.74,3.98,-0.6400000000000006,17.32
SWSOLAR.NS,-3.2,-9.89,6.74,-0.64,-9.940000000000001,13.41
ONWARDTEC.NS,2.35,11.8,6.73,6.91,-4.380000000000001,13.46
SPIC.NS,1.85,0.94,6.73,9.69,-4.880000000000001,15.65
ASPINWALL.NS,4.55,2.26,6.72,19.81,-2.17,13.14
AMDIND.NS,-0.78,-0.33,6.71,14.38,-7.49,13.2
NURECA.NS,-1.22,-2.35,6.71,-3.64,-7.93,14.86
EMULTIMQ.NS,0.42,3.08,6.7,12.75,-6.28,34.2
ACEINTEG.NS,-0.74,-1.4,6.7,12.33,-7.44,11.63
KRN.NS,6.3,-11.41,6.69,26.25,-0.39000000000000057,11.66
DODLA.NS,8.12,3.92,6.67,3.5,1.4499999999999993,19.34
SDBL.NS,-1.15,-0.42,6.67,13.63,-7.82,12.63
ZENITHDRUG.NS,15.77,4.41,6.65,0.18,9.12,10.61
FIEMIND.NS,6.51,4.42,6.65,9.76,-0.14000000000000057,17.25
AHCL.NS,5.95,9.87,6.65,29.9,-0.7000000000000002,13.23
LICHSGFIN.NS,0.71,-2.72,6.65,11.22,-5.94,22.78
PCBL.NS,-2.78,-4.33,6.64,-1.53,-9.42,12.13
TARSONS.NS,0.02,-4.15,6.62,23.26,-6.6000000000000005,16.13
ALLCARGO.NS,4.81,-4.4,6.61,11.85,-1.8000000000000007,14.5
LUXIND.NS,4.55,1.84,6.61,66.58,-2.0600000000000005,10.81
TEXMOPIPES.NS,-0.67,-4.55,6.61,6.83,-7.28,13.45
ARKADE.NS,5.99,1.02,6.6,13.02,-0.6099999999999994,17.28
JSWINFRA.NS,5.23,4.14,6.59,15.9,-1.3599999999999994,19.92
RUSHIL.NS,0.23,-8.5,6.59,-8.64,-6.359999999999999,14.02
FILATEX.NS,9.68,5.26,6.54,10.75,3.1399999999999997,14.94
ROUTE.NS,-0.98,-6.6,6.54,10.66,-7.52,15.48
PAGEIND.NS,-1.01,3.82,6.53,22.82,-7.54,26.55
SALZERELEC.NS,-10.03,-2.68,6.53,2.0,-16.56,13.3
SUPREMEINF.NS,-0.88,-1.77,6.5,9.36,-7.38,16.97
CAMPUS.NS,8.28,4.03,6.49,2.76,1.7899999999999991,21.52
BOSCH-HCIL.NS,3.86,-1.41,6.48,7.91,-2.6200000000000006,15.02
CPCAP.NS,-0.3,-1.42,6.45,8.77,-6.75,15.69
INTERNET.NS,0.52,1.51,6.44,9.11,-5.92,26.41
DRREDDY.NS,-1.26,2.39,6.44,7.89,-7.7,23.97
PRUDENT.NS,-1.7,-6.46,6.43,11.95,-8.129999999999999,17.47
FLFL.NS,-6.28,-10.16,6.43,29.98,-12.71,13.75
BELRISE.NS,2.8,-0.06,6.42,26.53,-3.62,16.27
