Ticker,BBOX.NS,BLISSGVS.NS,CALSOFT.NS,CONFIPET.NS,DEEPINDS.NS,E2E.NS,EMMVEE.NS,GAYAPROJ.NS,HFCL.NS,IDEAFORGE.NS,KERNEX.NS,NINSYS.NS,PREMIERENE.NS,SASKEN.NS,SHYAMTEL.NS,SOFTTECH.NS,STLTECH.NS,SUVEN.NS,VENUSREM.NS,WEBELSOLAR.NS
KERNEX.NS,0.27199792742303985,0.2619329671809617,0.1343400968444984,0.22681175171384035,0.17971525289098392,0.30716725332487727,0.23808813162520873,0.09233544285640616,0.39632399068843055,0.2539222375234477,1.0,0.15369516820644336,0.20086828486157465,0.1098405058510078,0.11789766427140795,0.4509916525391087,0.25888443835335634,0.22824632021154834,0.24170471021290327,0.25875585454307104
NINSYS.NS,0.07886388740701669,0.02720732558577914,0.18117457191278463,0.07635425822785771,0.22160802023741275,0.02647358492162567,0.13808590659664244,0.07494887248631683,0.1756771631744016,-0.003116592628775224,0.15369516820644336,1.0,0.14688288239511238,0.17857828742528328,0.0913947232844376,0.10072265733899205,0.08759619020523843,0.11584855561990319,0.07255603918512542,0.03627771216659503
PREMIERENE.NS,0.2827636362746298,0.09724192184740377,0.017381496825894165,0.19457942135530526,0.2573415977929574,0.21689945103790648,0.36346643949103874,0.04309822463016119,0.227041577003605,0.18605822207765052,0.20086828486157465,0.14688288239511238,1.0,0.21557070084589539,-0.06460127960964859,0.16156347033456697,0.3917615030355539,0.20280471299925162,0.2287160492996031,0.32816358781621535
SASKEN.NS,0.42241455643596365,0.20779560479464873,0.25963679171970494,0.25920275892668043,0.24706409668479726,0.25939780002087426,0.2963947433591797,0.009867462512801545,0.2527335235504475,0.17952706790153147,0.1098405058510078,0.17857828742528328,0.21557070084589539,1.0,-0.013059216723640833,0.2510651561311084,0.31624810838684847,0.19181109300494,0.11219443142447506,0.22300300685807115
SHYAMTEL.NS,0.05929503838964575,0.0281685201367023,0.10251307847029088,0.18517805646188257,0.06315436786660275,0.1547538996423462,0.04840588698705671,-0.07334321633624956,0.17367712046691347,0.18859237966656975,0.11789766427140795,0.0913947232844376,-0.06460127960964859,-0.013059216723640833,1.0,0.30462961086817353,0.13551215960540203,0.13313963584181357,-0.04246014668602283,0.15574234933464706
SOFTTECH.NS,0.2913819650168882,0.15922981967031988,0.1734519562732931,0.24110383877950323,0.1863636075574009,0.32914128144864496,0.2278502641123977,0.04209291358987376,0.28139214835418636,0.17742836136618953,0.4509916525391087,0.10072265733899205,0.16156347033456697,0.2510651561311084,0.30462961086817353,1.0,0.23561729944834897,0.34162054506804845,0.21510806973203284,0.24608540612047278
STLTECH.NS,0.3169644535929166,0.26644460332818304,0.18321166257252222,0.2530186742845923,0.3134148499761734,0.2197858758695078,0.26124893210754496,0.13792611434491509,0.49752124152753474,0.3852233061254085,0.25888443835335634,0.08759619020523843,0.3917615030355539,0.31624810838684847,0.13551215960540203,0.23561729944834897,1.0,0.28744428637592967,0.20639567189438648,0.126593035430274
SUVEN.NS,0.3288381048575572,0.2649795406502476,0.0744331675014448,0.30494847312476747,0.2571501990607445,0.15592003850377376,0.2876628301141217,-0.0996274247514292,0.20966908427525793,0.061024984064941355,0.22824632021154834,0.11584855561990319,0.20280471299925162,0.19181109300494,0.13313963584181357,0.34162054506804845,0.28744428637592967,1.0,0.09189143390198486,0.11631865388747402
VENUSREM.NS,0.13586445593058208,0.08354618625339495,0.13174700394106806,0.15112964254602132,0.13576222264983132,0.13813433748929724,0.31442376928949267,0.07752451622117,0.24338157550349512,0.21129101880525777,0.24170471021290327,0.07255603918512542,0.2287160492996031,0.11219443142447506,-0.04246014668602283,0.21510806973203284,0.20639567189438648,0.09189143390198486,1.0,0.1578700204296931
WEBELSOLAR.NS,0.37255802343413924,0.23378286472608584,0.01959260083258191,0.17815073785898333,0.3145399433310482,0.19702878782184988,0.26208280989355615,0.09405631338862043,0.19561077232185353,0.39287485821457824,0.25875585454307104,0.03627771216659503,0.32816358781621535,0.22300300685807115,0.15574234933464706,0.24608540612047278,0.126593035430274,0.11631865388747402,0.1578700204296931,1.0
