Symbol,Close,AVG_20D_VOLUME,ADV_RUPEES,LIQUIDITY_SCORE,LIQUIDITY_RANK,LIQUIDITY_BUCKET
HUHTAMAKI,170.91,137348,23474172.82,32.46666666666667,1014.0,ILLIQUID
DIGITIDE,83.9,278684,23381567.05,32.4,1015.0,ILLIQUID
HATSUN,892.1,26149,23327566.87,32.33333333333333,1016.0,ILLIQUID
AUTOAXLES,1679.0,13823,23209068.85,32.266666666666666,1017.0,ILLIQUID
VESUVIUS,449.15,51567,23161497.4,32.2,1018.0,ILLIQUID
HINDWAREAP,218.07,100959,22016228.0,32.13333333333333,1019.0,ILLIQUID
FMGOETZE,424.7,51110,21706587.5,32.06666666666666,1020.0,ILLIQUID
TASTYBITE,8149.5,2650,21594952.57,32.0,1021.0,ILLIQUID
HERANBA,187.08,115359,21581333.87,31.933333333333337,1022.0,ILLIQUID
BHARATRAS,1384.4,15583,21572551.82,31.866666666666667,1023.0,ILLIQUID
SIGNPOST,265.05,80968,21460527.65,31.8,1024.0,ILLIQUID
SPAL,798.45,26765,21370434.73,31.733333333333334,1025.0,ILLIQUID
UTTAMSUGAR,232.13,91874,21326781.71,31.666666666666664,1026.0,ILLIQUID
ADSL,117.07,180564,21138662.55,31.6,1027.0,ILLIQUID
IMAGICAA,42.06,501963,21112564.47,31.533333333333335,1028.0,ILLIQUID
WEL,92.44,228173,21092275.7,31.466666666666665,1029.0,ILLIQUID
NAVNETEDUL,141.9,147329,20905941.63,31.4,1030.0,ILLIQUID
MODIS,345.05,60406,20843020.55,31.333333333333336,1031.0,ILLIQUID
BHAGCHEM,267.69,77851,20839894.23,31.266666666666666,1032.0,ILLIQUID
RUPA,146.62,141830,20795040.6,31.2,1033.0,ILLIQUID
VENTIVE,618.8,32939,20382869.38,31.133333333333336,1034.0,ILLIQUID
PFS,30.62,665458,20376310.74,31.066666666666663,1035.0,ILLIQUID
DMCC,245.3,82472,20230430.91,31.0,1036.0,ILLIQUID
MANAKCOAT,104.38,191377,19975899.42,30.933333333333334,1037.0,ILLIQUID
EKC,106.75,185374,19788695.85,30.866666666666664,1038.0,ILLIQUID
HEIDELBERG,148.07,133336,19743099.51,30.8,1039.0,ILLIQUID
REMSONSIND,81.93,239529,19624606.95,30.733333333333334,1040.0,ILLIQUID
WONDERLA,473.4,41355,19577338.4,30.666666666666664,1041.0,ILLIQUID
KOLTEPATIL,355.9,54953,19557701.18,30.599999999999998,1042.0,ILLIQUID
SHALBY,165.87,117515,19492253.94,30.533333333333335,1043.0,ILLIQUID
DHARMAJ,275.05,70845,19485792.61,30.466666666666665,1044.0,ILLIQUID
IGPL,438.4,44311,19426095.57,30.4,1045.0,ILLIQUID
INSECTICID,707.45,27196,19239775.16,30.333333333333336,1046.0,ILLIQUID
UGROCAP,93.69,204541,19163474.9,30.266666666666666,1047.0,ILLIQUID
AURUM,183.48,104084,19097304.35,30.2,1048.0,ILLIQUID
GPTHEALTH,148.25,128462,19044469.26,30.133333333333333,1049.0,ILLIQUID
SUYOG,698.45,27065,18903549.58,30.06666666666667,1050.0,ILLIQUID
FOSECOIND,4699.8,3953,18577368.67,30.0,1051.0,ILLIQUID
JPOLYINVST,1105.2,16777,18542050.1,29.933333333333334,1052.0,ILLIQUID
INDIANHUME,286.05,64730,18516044.31,29.86666666666667,1053.0,ILLIQUID
RML,907.7,20198,18333679.46,29.799999999999997,1054.0,ILLIQUID
PARKHOTELS,115.56,158589,18326584.9,29.733333333333334,1055.0,ILLIQUID
BORANA,319.9,56603,18107203.38,29.666666666666668,1056.0,ILLIQUID
SCILAL,44.06,409859,18058392.51,29.599999999999998,1057.0,ILLIQUID
JINDALPOLY,700.4,25721,18015164.13,29.533333333333335,1058.0,ILLIQUID
SHOPERSTOP,356.75,50443,17995593.76,29.46666666666667,1059.0,ILLIQUID
GICHSGFIN,154.29,116590,17988631.74,29.4,1060.0,ILLIQUID
NCLIND,182.7,98098,17922458.63,29.333333333333332,1061.0,ILLIQUID
GANESHCP,200.85,88068,17688378.0,29.26666666666667,1062.0,ILLIQUID
COMSYN,169.05,103795,17546494.35,29.2,1063.0,ILLIQUID
BLKASHYAP,53.63,325924,17479283.02,29.133333333333333,1064.0,ILLIQUID
ORIENTHOT,101.5,171634,17420851.0,29.06666666666667,1065.0,ILLIQUID
ALEMBICLTD,86.16,201670,17375905.17,28.999999999999996,1066.0,ILLIQUID
JAGSNPHARM,204.53,84811,17346444.86,28.933333333333334,1067.0,ILLIQUID
SANGAMIND,528.15,32831,17339482.19,28.866666666666667,1068.0,ILLIQUID
SGIL,550.7,31419,17302361.08,28.799999999999997,1069.0,ILLIQUID
VGL,70.9,243459,17261268.29,28.733333333333334,1070.0,ILLIQUID
GALAXYSURF,1696.0,10156,17224830.4,28.666666666666668,1071.0,ILLIQUID
SURAJEST,189.19,89966,17020592.08,28.599999999999998,1072.0,ILLIQUID
ONWARDTEC,252.95,67213,17001426.96,28.53333333333333,1073.0,ILLIQUID
TERASOFT,437.35,38536,16853741.7,28.46666666666667,1074.0,ILLIQUID
STEELCAS,284.9,59138,16848529.8,28.4,1075.0,ILLIQUID
BOSCH-HCIL,1350.1,12390,16727941.21,28.333333333333332,1076.0,ILLIQUID
PUNJABCHEM,999.2,16727,16713818.44,28.26666666666667,1077.0,ILLIQUID
DPABHUSHAN,896.95,18354,16462351.44,28.199999999999996,1078.0,ILLIQUID
TCIEXP,515.85,31137,16061840.14,28.133333333333333,1079.0,ILLIQUID
LAOPALA,176.97,90392,15996698.9,28.066666666666666,1080.0,ILLIQUID
PLATIND,210.27,73814,15520796.5,28.000000000000004,1081.0,ILLIQUID
DOLATALGO,72.37,213110,15422745.96,27.933333333333334,1082.0,ILLIQUID
PRIMESECU,281.85,54074,15240884.06,27.866666666666667,1083.0,ILLIQUID
BANSALWIRE,293.5,51822,15209845.05,27.800000000000004,1084.0,ILLIQUID
SUNCLAY,1292.1,11543,14914645.41,27.73333333333333,1085.0,ILLIQUID
PRABHA,157.12,94893,14909626.98,27.666666666666668,1086.0,ILLIQUID
RPGLIFE,2108.2,7013,14785017.08,27.6,1087.0,ILLIQUID
ESAFSFB,27.3,529646,14459339.49,27.53333333333333,1088.0,ILLIQUID
PILANIINVS,4248.7,3384,14378238.77,27.46666666666667,1089.0,ILLIQUID
NRL,75.27,186746,14056385.85,27.400000000000002,1090.0,ILLIQUID
SARLAPOLY,98.97,141665,14020565.43,27.333333333333332,1091.0,ILLIQUID
CONTROLPR,606.55,23008,13955502.12,27.266666666666666,1092.0,ILLIQUID
GANDHITUBE,849.25,16340,13876787.46,27.200000000000003,1093.0,ILLIQUID
MAXIND,157.79,86720,13683508.77,27.133333333333333,1094.0,ILLIQUID
SHIVALIK,239.8,56991,13666525.9,27.066666666666666,1095.0,ILLIQUID
VEEDOL,1428.4,9440,13483881.97,27.0,1096.0,ILLIQUID
ELIN,106.94,125961,13470258.95,26.93333333333333,1097.0,ILLIQUID
TOLINS,99.38,133363,13253584.76,26.866666666666667,1098.0,ILLIQUID
IITL,141.34,93411,13202696.26,26.8,1099.0,ILLIQUID
SAGCEM,171.95,76354,13129009.88,26.73333333333333,1100.0,ILLIQUID
VINYLINDIA,242.4,52927,12829492.36,26.666666666666668,1101.0,ILLIQUID
IKIO,154.24,81122,12512211.45,26.6,1102.0,ILLIQUID
ROHLTD,312.35,39420,12312712.3,26.53333333333333,1103.0,ILLIQUID
MEGASTAR,306.15,39644,12136903.21,26.466666666666665,1104.0,ILLIQUID
TNPETRO,85.36,142179,12136378.19,26.400000000000002,1105.0,ILLIQUID
STERTOOLS,208.57,57792,12053750.86,26.333333333333332,1106.0,ILLIQUID
GAYAPROJ,21.75,553498,12038588.03,26.266666666666666,1107.0,ILLIQUID
ABCOTS,199.78,59954,11977650.0,26.200000000000003,1108.0,ILLIQUID
DEN,26.91,442919,11918943.49,26.13333333333333,1109.0,ILLIQUID
DBCORP,201.57,59112,11915155.88,26.066666666666666,1110.0,ILLIQUID
CAPILLARY,504.35,23162,11681805.28,26.0,1111.0,ILLIQUID
AMRUTANJAN,569.0,20409,11612863.25,25.933333333333337,1112.0,ILLIQUID
BIRLANU,1248.2,9298,11606012.79,25.866666666666667,1113.0,ILLIQUID
UNIVASTU,78.31,144716,11332713.52,25.8,1114.0,ILLIQUID
SURAKSHA,270.8,40748,11034693.3,25.733333333333334,1115.0,ILLIQUID
5PAISA,302.7,35795,10835252.88,25.666666666666664,1116.0,ILLIQUID
VISAKAIND,77.92,138788,10814387.98,25.6,1117.0,ILLIQUID
ASAL,490.6,21974,10780272.82,25.533333333333335,1118.0,ILLIQUID
TNPL,144.33,74506,10753443.9,25.466666666666665,1119.0,ILLIQUID
AFSL,201.03,53018,10658298.94,25.4,1120.0,ILLIQUID
PASHUPATI,87.9,118823,10444541.88,25.333333333333336,1121.0,ILLIQUID
NSIL,5462.0,1879,10263098.0,25.266666666666666,1122.0,ILLIQUID
MAANALU,122.92,82441,10133641.42,25.2,1123.0,ILLIQUID
RADHIKAJWE,55.55,181678,10092218.32,25.133333333333336,1124.0,ILLIQUID
KSOLVES,283.35,35396,10029343.48,25.066666666666666,1125.0,ILLIQUID
GLOBAL,102.53,97775,10024911.64,25.0,1126.0,ILLIQUID
VSSL,264.6,37616,9953259.98,24.933333333333334,1127.0,ILLIQUID
SVLL,740.05,13403,9919038.0,24.866666666666667,1128.0,ILLIQUID
RAJESHEXPO,84.66,115195,9752438.75,24.8,1129.0,ILLIQUID
EXCELINDUS,909.1,10718,9743551.72,24.73333333333333,1130.0,ILLIQUID
ALLTIME,223.42,43368,9689222.63,24.666666666666668,1131.0,ILLIQUID
MMP,260.65,36919,9622924.09,24.6,1132.0,ILLIQUID
SANATHAN,414.3,22567,9349632.11,24.53333333333333,1133.0,ILLIQUID
TPLPLASTEH,64.91,142042,9219966.21,24.46666666666667,1134.0,ILLIQUID
ZUARIIND,244.9,37334,9143157.6,24.4,1135.0,ILLIQUID
ARIES,326.65,27813,9085263.27,24.333333333333336,1136.0,ILLIQUID
KHADIM,97.92,91612,8970637.08,24.266666666666666,1137.0,ILLIQUID
NILKAMAL,1252.3,7134,8933595.47,24.2,1138.0,ILLIQUID
CREST,379.7,23514,8928361.01,24.133333333333333,1139.0,ILLIQUID
PRIMO,24.26,366165,8883162.98,24.066666666666666,1140.0,ILLIQUID
STCINDIA,117.75,74846,8813157.71,24.0,1141.0,ILLIQUID
HMAAGRO,22.7,387299,8791686.46,23.933333333333334,1142.0,ILLIQUID
MVGJL,147.64,59490,8783066.65,23.866666666666667,1143.0,ILLIQUID
SCHAND,146.06,59888,8747248.44,23.799999999999997,1144.0,ILLIQUID
ORICONENT,55.28,155363,8588455.39,23.733333333333334,1145.0,ILLIQUID
INDIQUBE,153.07,55753,8534158.04,23.666666666666668,1146.0,ILLIQUID
PONNIERODE,314.2,27152,8531237.28,23.599999999999998,1147.0,ILLIQUID
TEXINFRA,98.95,84613,8372431.35,23.533333333333335,1148.0,ILLIQUID
KOTHARIPET,116.61,71415,8327685.7,23.466666666666665,1149.0,ILLIQUID
MAZDA,228.1,36469,8318487.88,23.400000000000002,1150.0,ILLIQUID
LIKHITHA,228.16,36215,8262734.68,23.333333333333332,1151.0,ILLIQUID
ONMOBILE,49.55,166633,8256647.68,23.266666666666666,1152.0,ILLIQUID
SUKHJITS,167.33,48967,8193606.37,23.200000000000003,1153.0,ILLIQUID
RBZJEWEL,134.44,60500,8133633.59,23.133333333333333,1154.0,ILLIQUID
MATRIMONY,395.05,20457,8081695.62,23.066666666666666,1155.0,ILLIQUID
IMPAL,1054.1,7663,8078042.46,23.0,1156.0,ILLIQUID
