Symbol,ENTRY_SCORE,RSI,VOLUME_RATIO,EMA20,EMA50,DISTANCE_TO_HIGH,LAST_UPDATED,ENTRY_RANK
BFUTILITIE.NS,5,76.55,1.27,587.79,555.6,-2584.39,2026-06-09 06:48:50.841178,6.0
BAJEL.NS,5,68.61,0.08,188.9,180.49,-2430.02,2026-06-09 06:48:50.841178,6.0
ANANTRAJ.NS,5,64.15,0.52,529.3,515.28,-2645.46,2026-06-09 06:48:50.841178,6.0
DEEPAKFERT.NS,5,77.81,0.57,1394.07,1293.63,-1392.77,2026-06-09 06:48:50.841178,6.0
BCG.NS,5,61.4,1.05,10.56,10.14,-4601.64,2026-06-09 06:49:12.228709,6.0
DIAMONDYD.NS,5,69.65,0.07,1087.23,1044.99,-703.61,2026-06-09 11:41:21.683881,6.0
BLISSGVS.NS,5,76.37,0.1,376.48,316.54,-733.23,2026-06-09 06:48:50.841178,6.0
DYNPRO.NS,5,67.0,0.25,242.02,236.12,-3821.63,2026-06-09 11:41:21.683881,6.0
BOMDYEING.NS,5,64.74,0.59,124.06,120.64,-3252.14,2026-06-09 06:49:19.278935,6.0
HLEGLAS.NS,5,72.52,0.16,347.85,336.17,-4234.88,2026-06-09 11:41:21.683881,6.0
AVANTEL.NS,5,60.84,0.46,167.26,159.5,-2095.34,2026-06-09 06:48:50.841178,6.0
CLEDUCATE.NS,5,81.18,0.39,48.56,48.5,-5203.86,2026-06-09 06:48:50.841178,6.0
BANCOINDIA.NS,5,72.42,0.34,633.08,618.24,-2370.31,2026-06-09 06:49:19.278935,6.0
INTELLECT.NS,5,71.08,1.07,726.22,722.99,-3840.54,2026-06-09 11:41:21.683881,6.0
BAJAJHIND.NS,5,62.56,0.47,18.84,18.49,-3456.92,2026-06-09 06:49:12.228709,6.0
GUJTHEM.NS,5,62.16,0.25,391.02,365.41,-1463.08,2026-06-09 11:41:21.683881,6.0
E2E.NS,5,67.77,0.09,385.83,335.31,-973.73,2026-06-09 06:48:50.841178,6.0
BIRLACABLE.NS,5,73.13,1.14,193.1,171.31,-1174.47,2026-06-09 06:48:50.841178,6.0
EMAMIPAP.NS,5,69.57,0.52,82.78,79.95,-2557.43,2026-06-09 11:41:21.683881,6.0
HTMEDIA.NS,5,66.96,0.9,22.27,22.1,-2008.52,2026-06-09 11:41:21.683881,6.0
AKUMS.NS,5,73.07,0.71,536.86,523.93,-690.24,2026-06-09 06:48:50.841178,6.0
BROOKS.NS,5,85.12,0.55,61.44,60.42,-5721.36,2026-06-09 06:49:12.228709,6.0
GULFPETRO.NS,5,75.28,0.51,37.49,34.96,-1662.87,2026-06-09 11:41:21.683881,6.0
GIPCL.NS,5,71.93,0.49,160.66,153.9,-2307.54,2026-06-09 11:41:21.683881,6.0
DEEPINDS.NS,5,65.56,0.2,493.94,469.5,-875.51,2026-06-09 06:49:12.228709,6.0
BBL.NS,5,63.64,0.26,2779.01,2722.37,-1420.82,2026-06-09 06:48:50.841178,6.0
GREENPLY.NS,5,73.57,1.08,265.05,251.36,-1542.0,2026-06-09 11:41:21.683881,6.0
APTECHT.NS,5,72.91,0.26,101.98,96.53,-2910.09,2026-06-09 06:48:50.841178,6.0
DYNAMIC.NS,5,78.91,0.65,140.65,132.34,-1223.53,2026-06-09 11:41:21.683881,6.0
COMSYN.NS,5,65.96,10.48,154.12,154.74,-1677.14,2026-06-09 06:48:50.841178,6.0
JINDALSAW.NS,5,63.35,0.46,238.07,225.61,-776.54,2026-06-09 11:41:21.683881,6.0
AZAD.NS,5,67.63,0.39,2097.59,1990.77,-537.66,2026-06-09 06:48:50.841178,6.0
CONCORDBIO.NS,5,63.6,0.42,1157.08,1142.42,-4196.7,2026-06-09 06:49:19.278935,6.0
BGRENERGY.NS,5,80.77,0.31,319.02,310.08,-2704.79,2026-06-09 06:49:12.228709,6.0
CYIENTDLM.NS,5,61.05,0.92,430.84,401.27,-1004.66,2026-06-09 11:41:21.683881,6.0
JASH.NS,5,69.47,0.29,417.56,407.34,-2730.34,2026-06-09 06:48:50.841178,6.0
ANTELOPUS.NS,5,67.08,0.59,801.81,720.11,-584.48,2026-06-09 06:48:50.841178,6.0
CONSOFINVT.NS,5,49.01,0.46,232.76,226.74,-467.96,2026-06-09 06:48:50.841178,6.0
DCM.NS,5,63.62,0.25,88.96,83.11,-2659.83,2026-06-09 06:48:50.841178,6.0
IVP.NS,5,62.45,0.24,167.08,156.81,-1397.03,2026-06-09 11:41:21.683881,6.0
FOCUS.NS,5,68.11,0.49,86.46,81.01,-2600.35,2026-06-09 11:41:21.683881,6.0
AGI.NS,5,73.0,0.79,598.16,590.19,-3574.59,2026-06-09 06:48:50.841178,6.0
GATEWAY.NS,5,77.44,2.51,56.48,56.64,-1455.64,2026-06-09 12:42:30.892384,6.0
GOCOLORS.NS,5,78.61,1.13,342.53,320.28,-5690.99,2026-06-09 12:42:30.892384,6.0
ABB.NS,5,64.66,0.3,6966.16,6765.28,-729.34,2026-06-09 06:48:50.841178,6.0
IFCI.NS,5,71.76,0.79,69.92,64.44,-598.93,2026-06-09 12:42:30.892384,6.0
AETHER.NS,5,60.94,0.26,1123.28,1116.26,-1009.58,2026-06-09 06:48:50.841178,6.0
IGIL.NS,5,62.88,1.39,361.23,351.62,-944.0,2026-06-09 12:42:30.892384,6.0
ELECON.NS,5,63.73,0.57,514.4,490.9,-2244.21,2026-06-09 06:48:50.841178,6.0
BASML.NS,5,65.82,1.16,24.78,24.03,-2931.27,2026-06-09 06:48:50.841178,6.0
GREAVESCOT.NS,5,80.37,0.72,179.13,169.82,-1826.85,2026-06-09 12:42:30.892384,6.0
FCL.NS,5,62.24,0.31,36.59,31.1,-845.2,2026-06-09 12:42:30.892384,6.0
DBEIL.NS,5,61.58,0.18,80.48,79.82,-5480.67,2026-06-09 11:41:21.683881,6.0
GMRAIRPORT.NS,5,68.83,0.86,98.73,97.27,-529.76,2026-06-09 11:41:21.683881,6.0
GAIL.NS,5,70.74,0.5,164.87,161.96,-1313.39,2026-06-09 11:41:21.683881,6.0
