ALPHA_RANK,Symbol,Sector,Industry,Market_Cap,ALPHA_SCORE,Momentum,Sharpe,RS_30D,RS_60D,RS_ACCELERATION,VOL_ADJ_RS,SECTOR_SCORE,SECTOR_RANK,ENTRY_SCORE,ADV_RUPEES,AVG_20D_VOLUME,LIQUIDITY_SCORE,LIQUIDITY_BUCKET,Industry_MASTER,FACTOR_MOMENTUM,FACTOR_SHARPE,FACTOR_ALPHA,RS_COMPOSITE,FACTOR_RS,FACTOR_LOW_VOL,FACTOR_SECTOR,FACTOR_ENTRY,FACTOR_LIQUIDITY,FACTOR_MARKET_CAP,MULTI_FACTOR_SCORE,FACTOR_RANK
75,BAJEL,Utilities,Utilities - Regulated Electric,23286323200.0,0.9729,33.092,83.94,15.8,44.62,-12.41,29.72,18.74,1.0,5.0,314111911.41,1560649.0,71.13333333333334,MEDIUM,Unknown,88.58,83.76,90.61,16.003333333333334,88.32,65.48,98.48,5.0,71.13,11.6751269035533,70.54,43
93,GOKULAGRO,Consumer Defensive,Packaged Foods,68746354688.0,0.7563,34.0,112.36,3.16,54.56,-0.73,6.51,6.53,8.0,8.0,119045771.92,510992.0,54.93333333333334,MEDIUM,FMCG – Food,89.34,91.37,87.31,18.996666666666666,91.88,89.85,38.83,8.0,54.93,29.949238578680205,70.25,44
55,GUFICBIO,Healthcare,Drug Manufacturers - Specialty & Generic,36507844608.0,1.1337,37.942,112.98,32.98,41.25,-21.31,90.33,9.76,4.0,5.0,63893412.22,175507.0,45.2,LOW,Pharma – Formulations,91.12,91.88,94.16,17.639999999999997,90.61,39.59,87.18,5.0,45.2,19.035532994923855,70.11,45
90,AIAENG,Industrials,Specialty Industrial Machinery,414249123840.0,0.7653,29.056,107.3,19.03,35.74,-15.41,57.13,7.49,7.0,8.0,607903515.95,136946.0,79.0,HIGH,Capital Goods,84.52,90.1,87.82,13.12,83.5,45.43,53.3,8.0,79.0,75.1269035532995,69.79,46
63,ADFFOODS,Consumer Defensive,Packaged Foods,30783778816.0,1.0687,45.738,103.93,26.34,58.67,-18.65,46.66,6.53,8.0,8.0,90679308.65,323624.0,50.33333333333333,LOW,FMCG – Food,94.92,88.58,92.89,22.120000000000005,94.92,51.02,38.83,8.0,50.33,15.736040609137056,69.66,47
114,COFORGE,Technology,Information Technology Services,620935380992.0,0.6796,27.67,74.03,21.19,31.99,-19.44,49.04,11.6,2.0,4.0,4776117237.27,3404946.0,97.4,HIGH,IT Services,82.49,78.93,84.01,11.246666666666664,79.7,50.0,94.29,4.0,97.4,78.68020304568529,69.63,48
74,GANESHBE,Basic Materials,Specialty Chemicals,7686310400.0,0.9867,37.362,92.16,22.56,47.23,-5.32,44.02,9.45,5.0,8.0,82356679.23,771347.0,48.93333333333334,LOW,Unknown,90.61,86.29,90.86,21.49,94.42,53.81,75.0,8.0,48.93,1.5228426395939088,69.44,49
86,GULPOLY,Basic Materials,Chemicals,12738274304.0,0.8189,31.806,84.65,17.22,41.53,-1.63,35.1,9.45,5.0,7.0,148393201.03,724399.0,59.2,MEDIUM,Unknown,87.56,84.77,88.83,19.04,92.13,58.88,75.0,7.0,59.2,5.32994923857868,68.78,50
100,IKS,Healthcare,Health Information Services,281345753088.0,0.7329,29.314,90.92,21.31,34.65,-21.53,55.92,9.76,4.0,4.0,308457525.38,183770.0,70.86666666666666,MEDIUM,Pharma – Formulations,85.28,86.04,86.04,11.476666666666665,80.2,45.94,87.18,4.0,70.87,66.24365482233503,68.76,51
83,CEIGALL,Industrials,Engineering & Construction,62861828096.0,0.8297,29.616,124.94,14.61,39.62,-10.54,46.07,7.49,7.0,8.0,209438516.31,580403.0,64.26666666666667,MEDIUM,Capital Goods,85.79,94.92,89.59,14.563333333333333,86.04,52.28,53.3,8.0,64.27,27.918781725888326,68.58,52
