Ticker,ABSLAMC.NS,ACMESOLAR.NS,ADANIENT.NS,ADANIPORTS.NS,ADFFOODS.NS,AEROENTER.NS,AKUMS.NS,APCOTEXIND.NS,APOLLOHOSP.NS,ARVIND.NS,ATGL.NS,AZAD.NS,CEIGALL.NS,CEMPRO.NS,CGPOWER.NS,CPPLUS.NS,DIFFNKG.NS,EMCURE.NS,GAYAPROJ.NS,GLAND.NS,GRANULES.NS,GUFICBIO.NS,GULPOLY.NS,GVT&D.NS,HONASA.NS,HSCL.NS,INDOBORAX.NS,INOXINDIA.NS,IOLCP.NS,IRBINVIT.NS,WELENT.NS
GUFICBIO.NS,0.3292128689163586,0.1297959734845314,,0.3083968211694237,0.2586807246497649,0.3473768042640283,0.1719904702347357,0.2282119244294652,0.1916248933064634,0.1780949702733926,0.12313019187929725,0.1802902209952912,0.08000285339190791,0.2128154719787384,0.21779559666362702,0.23632393622052952,0.19148572523647514,0.14193056774776294,-0.03382351091498942,0.15919286572641253,0.25240607808045756,1.0,0.2156785066333985,0.18640644916921215,0.19082036836142344,0.18439930814059555,0.05979524107789977,0.115334938517202,0.24789779233085438,0.007680575830751074,0.1526301174589909
GULPOLY.NS,0.2328226602988946,0.12067798842422829,,0.31268857389811394,0.23483649188610292,0.24835970767103202,0.1604900072944688,0.11554238443715577,0.2184939962408393,0.185973254587188,0.14947709441777057,0.3558011616262074,0.11646864124186415,0.1955655640214006,0.30618918686519975,0.1497827518666818,0.19489309497850782,0.13609985047488873,0.06899749173120232,0.16405441641129515,0.20207786434201658,0.2156785066333985,1.0,0.17634215659275457,0.041953751236938654,0.2136496270614032,0.1133773561252827,0.21582188244707953,0.25979245842659265,0.0810918092097022,0.18618504691576385
GVT&D.NS,0.23743361378833694,0.1773067428771038,,0.2761385821680562,0.226124171458269,0.34616534012814226,0.265335269593142,0.1940276752580274,0.21838336804356412,0.19409908231006856,0.1711012548912889,0.3629824189414661,0.19911792688130725,0.28616702873973426,0.4888337025234013,0.1445826380450708,0.18287759414505877,0.08723574370464952,-0.0018382489169916868,0.18260958140033914,0.2967745910568555,0.18640644916921215,0.17634215659275457,1.0,0.31393556812962836,0.18467890712644702,0.07324972320964347,0.19310745469617527,0.26883792558236863,0.07915968970750777,0.2816044171917493
HONASA.NS,0.24206826438085954,0.13798715471729125,,0.29243110338557926,0.18210940026703448,0.35478218300532144,0.31651103446160905,0.21622071208039412,0.3157237017036589,0.16528552180878256,0.23111948728178658,0.2868827376972926,0.16129265645962634,0.22288149093208257,0.2836555058509858,0.13173769297459764,0.23492075665181128,0.2505130004244532,0.128666259848044,0.08260378487499259,0.28400241230995676,0.19082036836142344,0.041953751236938654,0.31393556812962836,1.0,0.24408924460166373,0.08136812318759618,0.25642408206813816,0.262105528821256,0.06034371549014621,0.25206052142239194
HSCL.NS,0.2878945301117637,0.14817278932847766,,0.35499445123441725,0.22190071180823165,0.2713722768573801,0.39128491997755455,0.12585228247154848,0.21396918693655514,0.10993751135351355,0.22773254514380195,0.3833280596684776,0.19535635876909307,0.2674789835551479,0.3535144832060645,0.16915684484240096,0.16353948128491794,0.13404254267166507,0.04523982496550202,0.005815586709558262,0.32771143663335495,0.18439930814059555,0.2136496270614032,0.18467890712644702,0.24408924460166373,1.0,0.17907723563188632,0.26158512127603595,0.19290048910142507,0.06899312161903101,0.3478118391339732
INDOBORAX.NS,-0.0244947594463778,0.06699163065076938,,0.11188257324183294,0.026287818949401787,0.06417882581923882,0.10904308500701196,-0.015469579766965114,0.036735273059949516,0.08325119243610549,0.11970817452767833,0.13452853255023542,0.07927800109012872,0.12894916135427334,0.057688071680142984,0.051877592140624686,0.06494184197566963,0.09150664563604544,-0.05357849849960787,0.029569938678618086,0.02306779147523285,0.05979524107789977,0.1133773561252827,0.07324972320964347,0.08136812318759618,0.17907723563188632,1.0,0.06984571704064518,0.0658945593148981,0.08302087332772122,0.1454844139892374
INOXINDIA.NS,0.28231941145009953,0.08766561440137918,,0.33566091540862364,0.16555279219987307,0.31652375995305965,0.454333678153428,0.17789828357389523,0.11116913740479793,0.22590920877683482,0.1600568614697514,0.2656964482887048,0.1389453801162148,0.2582538729625849,0.3037406713411746,0.03666131684043947,0.29029846674763354,0.13146415259944613,0.1924785071689199,0.06285510995844558,0.2051538610234515,0.115334938517202,0.21582188244707953,0.19310745469617527,0.25642408206813816,0.26158512127603595,0.06984571704064518,1.0,0.3119010679132378,0.10736353153440335,0.3998909132903632
IOLCP.NS,0.19001373473265035,0.3305239890538539,,0.42474505818663444,0.22733205808295362,0.2657706771589517,0.3247626634403095,0.23844927617031522,0.18516511609797595,0.2969922166316028,0.18037253619596905,0.30529656230279606,0.18998469170605015,0.30612732324957714,0.3032745829673011,0.2681284842348951,0.20338107747563525,0.13622131853612257,0.13832630154111994,0.21950721289902705,0.3195884125165065,0.24789779233085438,0.25979245842659265,0.26883792558236863,0.262105528821256,0.19290048910142507,0.0658945593148981,0.3119010679132378,1.0,-0.009421388498703128,0.3236614208129846
IRBINVIT.NS,0.042487754346905986,0.15482579632244384,,0.050722709182658504,0.02527021861439399,0.03153895658375541,0.043204872706726766,-0.07962955421873794,-0.03154700559064201,-0.0917612933290024,0.03488435839228533,0.05676897398628872,0.08117385939238161,0.02298914710752695,0.014132887363877489,0.006692083381229486,0.06075216823863901,0.00575118131788054,0.1310224995442936,0.06056154467176367,0.09961612006343329,0.007680575830751074,0.0810918092097022,0.07915968970750777,0.06034371549014621,0.06899312161903101,0.08302087332772122,0.10736353153440335,-0.009421388498703128,1.0,0.07751454705401356
WELENT.NS,0.2418057897313309,0.16539070496667146,,0.39282176079198583,0.30061381437758955,0.2604340995159253,0.37381160902147736,0.19827590607520898,0.18567878352151035,0.08083528546349894,0.296405470149494,0.39170324929990274,0.2937277721006628,0.2999832868571435,0.41434129584085877,0.20351238903806992,0.2536857374498119,0.12126015123382834,0.08285427627279923,0.12603481758849203,0.3117523032619193,0.1526301174589909,0.18618504691576385,0.2816044171917493,0.25206052142239194,0.3478118391339732,0.1454844139892374,0.3998909132903632,0.3236614208129846,0.07751454705401356,1.0
